Rang,Tendance,Volume normalisé,Variation hebdomadaire,Variation mensuelle,Variation annuelle,2024-08-13,2024-08-20,2024-08-27,2024-09-03,2024-09-10,2024-09-17,2024-09-24,2024-10-01,2024-10-08,2024-10-15,2024-10-22,2024-10-29,2024-11-05,2024-11-12,2024-11-19,2024-11-26,2024-12-03,2024-12-10,2024-12-17,2024-12-24,2024-12-31,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12
38,ongle été 2025,9,"-10 %","-7 %","10 000 %+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,2,5,5,6,10,18,32,14,23,34,32,44,49,57,61,87,96,100,99,92,98,97,84,71
39,coiffures africaines tresses,8,"2 %","-1 %","-20 %",59,64,73,100,35,38,39,38,40,37,37,45,66,34,27,29,29,32,31,39,40,52,24,26,28,28,25,33,46,45,28,27,35,45,38,41,52,61,46,41,43,45,58,57,48,54,59,59,59,55,55,56,58
40,fulani braids,8,"-3 %","-2 %","-1 %",88,80,80,100,42,40,37,40,41,39,40,46,64,40,32,37,37,41,37,45,43,51,38,37,35,34,33,36,45,48,37,35,41,46,49,48,53,62,59,52,48,50,59,56,55,59,67,69,63,59,62,66,64
41,carré court,8,"-6 %","0 %","30 %",50,62,76,86,100,71,65,62,61,68,69,69,67,74,73,69,70,80,79,71,54,56,62,68,71,71,66,63,69,64,63,60,62,64,58,56,55,57,54,61,61,66,62,69,72,64,67,66,62,65,71,67,63
42,ongle rouge,8,"0 %","10 %","-1 %",49,47,53,59,64,61,54,56,63,61,56,55,54,60,63,63,74,85,98,100,44,41,51,52,54,64,66,54,45,40,42,40,40,43,41,41,38,43,40,42,40,41,37,39,37,36,35,38,37,38,44,44,44
43,idée ongle,8,"1 %","6 %","70 %",61,58,60,57,47,48,41,40,41,46,52,48,43,45,48,46,45,49,51,62,57,55,62,56,52,53,59,70,72,61,60,61,56,63,93,89,74,79,72,81,85,91,82,85,84,82,94,100,88,92,98,96,98
44,carré long,7,"-5 %","10 %","3 %",58,72,91,100,97,85,74,76,74,85,78,81,70,78,67,62,61,81,76,68,56,55,61,68,64,68,62,61,68,62,61,59,57,63,57,55,55,56,51,57,59,58,60,65,62,60,61,63,62,66,72,75,71
45,maquillage naturel,7,"-30 %","10 %","-8 %",63,65,63,58,48,54,52,49,49,48,55,59,68,44,55,60,55,58,60,73,55,38,39,42,45,46,44,53,53,44,43,44,47,85,86,84,99,92,95,100,81,87,75,71,58,63,61,52,74,75,76,75,49
46,balayage blond,7,"-5 %","-4 %","7 %",74,79,97,89,75,70,67,69,79,65,66,63,54,62,67,69,70,84,78,69,63,57,64,68,71,77,72,71,81,81,83,86,85,93,100,99,93,100,90,93,91,94,87,88,88,83,81,85,79,75,82,84,79
47,jolie coiffure,7,"8 %","-6 %","-8 %",79,87,76,75,55,66,59,62,65,63,64,64,58,64,72,64,66,70,66,89,82,78,75,96,93,91,85,88,62,86,70,59,80,93,66,100,97,83,67,70,78,67,82,89,91,89,85,86,93,81,78,84,90
48,ongles été 2025,7,"-10 %","-6 %","10 000 %+",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,6,9,10,10,18,27,29,41,47,55,65,88,94,100,97,90,89,98,87,75
49,balayage,7,"0 %","4 %","10 %",71,75,90,82,70,63,56,58,63,58,52,50,46,51,55,56,57,65,65,59,53,50,57,59,63,64,69,70,73,73,75,82,82,88,89,96,93,100,83,90,87,86,83,85,84,84,83,86,94,85,93,91,90
50,haircut,7,"5 %","10 %","7 %",82,89,100,74,57,66,64,61,62,56,62,61,55,59,57,55,61,68,69,73,65,63,64,65,68,71,73,75,79,71,64,71,71,74,78,73,78,74,71,72,74,71,72,73,77,80,87,88,89,88,95,94,99
