Rang,Tendance,Variation hebdomadaire,Variation mensuelle,Variation annuelle,2024-08-13,2024-08-20,2024-08-27,2024-09-03,2024-09-10,2024-09-17,2024-09-24,2024-10-01,2024-10-08,2024-10-15,2024-10-22,2024-10-29,2024-11-05,2024-11-12,2024-11-19,2024-11-26,2024-12-03,2024-12-10,2024-12-17,2024-12-24,2024-12-31,2025-01-07,2025-01-14,2025-01-21,2025-01-28,2025-02-04,2025-02-11,2025-02-18,2025-02-25,2025-03-04,2025-03-11,2025-03-18,2025-03-25,2025-04-01,2025-04-08,2025-04-15,2025-04-22,2025-04-29,2025-05-06,2025-05-13,2025-05-20,2025-05-27,2025-06-03,2025-06-10,2025-06-17,2025-06-24,2025-07-01,2025-07-08,2025-07-15,2025-07-22,2025-07-29,2025-08-05,2025-08-12
33,ongle rose paillette,"5 %","-20 %","-40 %",47,41,43,47,47,32,27,32,33,31,32,34,43,38,45,49,52,72,87,100,84,79,76,71,62,62,53,68,51,66,61,55,49,59,65,68,43,67,56,37,65,54,47,49,47,47,48,42,42,34,19,41,43
34,ongles marron,"20 %","50 %","100 %",6,8,14,20,40,62,70,88,99,100,98,89,90,84,75,49,38,30,31,27,22,40,52,41,34,33,34,41,58,29,21,16,15,15,10,10,10,9,8,10,9,10,9,9,7,8,7,8,7,9,11,12,14
35,vacation nails,"40 %","30 %","20 %",42,34,23,14,14,11,10,11,9,8,7,6,6,4,17,10,13,19,23,20,31,37,29,15,13,15,18,20,15,15,12,22,33,53,26,46,30,35,22,36,33,37,32,32,53,57,63,60,72,62,72,69,100
36,ongles bordeaux gel,"-10 %","50 %","80 %",10,15,22,31,52,82,97,100,90,91,76,69,70,73,82,69,62,66,75,69,43,53,63,60,45,46,48,39,43,29,27,26,22,18,15,10,13,11,11,14,11,14,9,9,7,8,8,8,10,9,13,16,14
37,beach hairstyles,"70 %","-5 %","-40 %",100,61,39,20,10,6,5,5,4,5,5,3,3,5,5,5,4,2,4,5,10,7,6,6,6,6,7,9,11,6,10,13,10,16,25,19,13,19,39,16,27,23,54,37,47,72,82,64,72,64,50,58,98
38,ongles peche,"-5 %","6 %","80 %",36,28,33,28,9,6,10,6,4,5,2,1,2,5,2,4,2,1,3,1,3,5,4,5,5,13,10,13,15,34,43,29,41,58,79,69,49,49,53,68,52,66,66,73,100,69,94,91,78,59,92,100,94
39,bordeaux nails,"-1 %","30 %","100 %",11,16,25,35,53,72,95,97,100,99,86,82,77,78,78,69,64,66,68,76,46,44,54,56,54,51,51,54,50,47,32,31,36,30,22,24,21,24,18,22,15,16,13,20,16,17,15,16,14,17,17,24,23
40,demi tresse collée,"-3 %","10 %","-9 %",100,79,92,82,43,42,33,37,23,23,22,19,20,21,16,19,18,12,20,15,19,18,11,15,19,14,22,23,20,19,19,25,22,26,22,25,29,34,29,46,39,42,45,62,62,66,76,59,72,63,71,92,90
41,tresse demi tete,"0 %","20 %","40 %",64,52,55,60,32,27,23,26,17,23,20,19,23,14,19,15,19,18,16,21,20,12,12,17,17,19,25,24,21,20,23,20,23,30,39,32,32,37,37,34,43,48,60,49,72,72,68,77,77,75,69,100,100
42,coiffure sans plaquage,"6 %","-30 %","40 %",28,29,30,46,49,54,51,66,63,62,45,29,47,43,55,60,52,64,62,42,33,51,55,76,79,66,79,56,60,82,89,85,91,78,62,63,59,77,72,71,85,100,67,74,87,64,53,54,46,31,41,43,46
43,ongle marron,"20 %","50 %","80 %",9,11,17,27,50,76,88,100,97,85,73,67,65,67,65,54,42,38,36,36,34,50,66,56,44,43,39,39,41,38,29,26,21,20,15,16,15,13,12,13,11,13,11,11,9,10,9,11,9,12,15,16,18
44,black nails,"20 %","20 %","20 %",46,47,54,61,70,73,74,85,87,100,92,97,86,79,79,87,83,75,70,68,84,87,99,99,94,82,76,85,75,71,66,59,52,49,46,50,40,45,39,45,47,46,42,45,41,45,45,43,40,43,50,54,63
45,ongle rouge et blanc,"30 %","20 %","-3 %",68,40,33,32,29,27,25,22,27,19,24,18,25,27,32,36,47,61,77,100,21,13,20,26,26,28,40,25,26,22,28,25,24,26,26,24,24,34,36,29,29,39,33,39,44,39,45,63,50,49,53,57,72
46,coiffure cheveux mouillés,"40 %","-10 %","0 %",75,69,46,40,38,39,38,41,34,33,42,46,41,34,30,34,30,39,34,31,38,24,36,43,35,38,32,39,41,46,44,42,44,40,56,58,57,48,71,52,46,50,84,67,89,95,95,78,90,64,77,71,100
47,ongle bordeaux,"-1 %","40 %","100 %",10,15,22,27,50,75,83,97,100,87,82,75,76,72,81,69,65,69,72,75,48,51,56,57,47,48,48,46,43,33,27,26,23,20,19,18,18,11,13,18,13,14,14,14,11,14,13,13,14,15,17,21,20
48,menton,"20 %","40 %","10 %",73,61,58,31,33,32,27,21,22,25,27,23,24,19,24,18,15,21,25,28,41,42,49,50,40,55,49,72,77,65,63,63,60,55,59,55,57,70,61,58,56,63,62,59,51,55,60,58,62,68,79,83,100
49,ongles bordeaux,"0 %","40 %","100 %",9,15,28,39,53,72,84,98,93,86,81,82,81,80,87,76,68,75,94,100,54,66,76,63,49,55,60,63,68,43,31,32,25,22,18,19,18,21,18,18,18,20,16,18,16,14,15,14,15,16,20,22,22
50,french pédicure,"8 %","-40 %","20 %",38,27,23,25,13,11,8,11,10,5,4,7,7,9,5,8,5,14,10,12,7,8,12,8,9,10,9,10,12,9,8,12,11,14,24,23,31,45,34,35,35,40,52,61,88,100,98,82,60,38,46,50,54
